date,total_purchase_amt,total_redeem_amt,Interest_O_N,Interest_1_W,Interest_2_W,Interest_1_M,Interest_3_M,Interest_6_M,Interest_9_M,Interest_1_Y,mfd_daily_yield,mfd_7daily_yield
2013-07-01,0.1653435768166665,0.03607178199886966,4.456,5.423,6.04,6.88,5.295,4.239,4.282,4.4125,1.5787,6.307
2013-07-02,0.1477805496303014,0.016678141473762183,3.786,4.75,5.074,5.8,5.211,4.2344,4.2808,4.407,1.5461,6.174
2013-07-03,0.13878965635139848,0.03887162666035793,3.4,4.242,4.658,5.2,5.148,4.23,4.2796,4.4022,1.467,6.034
2013-07-04,0.0932423605970934,0.0418543888045752,3.348,3.938,4.464,5.102,5.029,4.2287,4.2776,4.4,1.4223,5.903
2013-07-05,0.05928420321955327,0.01804291599181147,3.38,3.816,4.295,4.7885,4.939,4.2273,4.2749,4.4,1.3845,5.739
2013-07-06,0.18703895824565178,0.010554691961722984,3.38,3.816,4.295,4.7885,4.939,4.2273,4.2749,4.4,1.3674,5.582
2013-07-07,0.04561166037561487,0.026002493506680723,3.38,3.816,4.295,4.7885,4.939,4.2273,4.2749,4.4,1.3671,5.425
2013-07-08,0.2914055987937621,0.054500680843197036,3.256,3.656,3.686,4.3,4.794,4.2238,4.2741,4.4,1.3129,5.279
2013-07-09,0.13638836791082184,0.022674919143708793,3.249,3.596,3.604,4.298,4.723,4.2215,4.272,4.4,1.3096,5.15
2013-07-10,0.15622432072613432,0.01695640560023513,3.251,3.59,3.85,4.269,4.704,4.22,4.2707,4.4,1.2792,5.047
2013-07-11,0.22431275117094931,0.0229082651033125,3.3547,3.81,3.906,4.351,4.6955,4.2199,4.2705,4.4,1.2616,4.959
2013-07-12,0.17397280270814489,0.05544633883186102,3.3,3.8,3.928,4.128,4.691,4.2189,4.2704,4.4,1.2487,4.884
2013-07-13,0.07717808705424198,0.022738705552184445,3.3,3.8,3.928,4.128,4.691,4.2189,4.2704,4.4,1.2396,4.815
2013-07-14,0.11509649825262547,0.018176887036020307,3.3,3.8,3.928,4.128,4.691,4.2189,4.2704,4.4,1.2394,4.745
2013-07-15,0.24494158430947793,0.08557918182943154,3.2998,3.809,3.94,4.2705,4.6785,4.2185,4.2701,4.4,1.1985,4.682
2013-07-16,0.2576358327491092,0.07746412739220414,3.013,3.706,4.0,4.424,4.6703,4.2176,4.27,4.4,1.2214,4.634
2013-07-17,0.14767007068672644,0.07123912234445985,2.968,3.596,3.992,4.53,4.662,4.2166,4.27,4.4,1.1829,4.582
2013-07-18,0.12333713425753098,0.0768136953610489,2.998,3.634,3.996,4.61,4.6578,4.2173,4.27,4.4,1.1896,4.543
2013-07-19,0.17140890542630402,0.06035727857697367,3.04,3.745,4.057,4.669,4.6525,4.2173,4.27,4.4,1.2032,4.518
2013-07-20,0.10402099942719202,0.03003995771267972,3.04,3.745,4.057,4.669,4.6525,4.2173,4.27,4.4,1.1964,4.494
2013-07-21,0.10760039403749397,0.01750588274559109,3.04,3.745,4.057,4.669,4.6525,4.2173,4.27,4.4,1.1962,4.471
2013-07-22,0.20585734746886342,0.12498915402547797,3.1035,3.925,4.099,4.806,4.6515,4.2173,4.27,4.4,1.1547,4.447
2013-07-23,0.2958734155186812,0.1593292492882919,3.1355,3.959,4.11,4.99,4.6517,4.2173,4.27,4.4,1.1826,4.426
2013-07-24,0.24643765588171537,0.23672521597379328,3.23,4.011,4.131,5.293,4.661,4.2189,4.27,4.4,1.1805,4.424
2013-07-25,0.29229700324949476,0.24948409069693447,3.3495,4.132,4.258,5.468,4.6601,4.2185,4.27,4.4,1.1645,4.411
2013-07-26,0.2276036068229878,0.2558792690033193,3.55,4.351,4.62,5.722,4.667,4.2189,4.27,4.4,1.1777,4.397
2013-07-27,0.08750805149399742,0.09831655067442342,3.55,4.351,4.62,5.722,4.667,4.2189,4.27,4.4,1.1728,4.384
2013-07-28,0.18451521569316445,0.0501621735159276,3.55,4.351,4.62,5.722,4.667,4.2189,4.27,4.4,1.1726,4.371
2013-07-29,0.27234004168895554,0.12143158950781088,3.703,5.057,5.5,5.988,4.671,4.2201,4.27,4.4,1.1515,4.369
2013-07-30,0.24164720684847713,0.08519162553531454,3.641,4.972,5.34,5.889,4.667,4.2203,4.27,4.4,1.1958,4.377
2013-07-31,0.27772230730744163,0.062245872043315525,3.699,4.971,5.453,5.34,4.6645,4.2199,4.27,4.4,1.2088,4.392
2013-08-01,0.2716167781645768,0.12316240138422122,3.549,4.545,5.36,4.846,4.6635,4.2193,4.27,4.4,1.2026,4.413
2013-08-02,0.19372257807958618,0.2621364741090576,3.2539,4.314,4.55,4.642,4.6595,4.2198,4.27,4.4,1.222,4.437
2013-08-03,0.10990786596591558,0.13515796106673492,3.2539,4.314,4.55,4.642,4.6595,4.2198,4.27,4.4,1.2154,4.46
2013-08-04,0.23281220450934964,0.05395380216156404,3.2539,4.314,4.55,4.642,4.6595,4.2198,4.27,4.4,1.2152,4.483
2013-08-05,0.2220582132526679,0.10313881621278927,3.1,4.356,4.31,4.575,4.655,4.2198,4.27,4.4,1.1875,4.503
2013-08-06,0.2588742524419737,0.10708142996409693,3.1,4.066,4.549,4.6005,4.6538,4.2193,4.27,4.4,1.204,4.507
2013-08-07,0.22346224448518942,0.19396229848505778,3.1005,3.873,4.361,4.58,4.6515,4.2197,4.27,4.4,1.2118,4.509
2013-08-08,0.22644157781296181,0.19293717843113717,3.1641,3.7585,4.42,4.595,4.6504,4.2198,4.27,4.4,1.2155,4.516
2013-08-09,0.1701114445401276,0.19671947088802028,2.914,3.64,4.3,4.535,4.6501,4.2198,4.27,4.4,1.2174,4.513
2013-08-10,0.10491787999050191,0.17376023541715718,2.914,3.64,4.3,4.535,4.6501,4.2198,4.27,4.4,1.2128,4.512
2013-08-11,0.2825566822556419,0.1003652042830569,2.914,3.64,4.3,4.535,4.6501,4.2198,4.27,4.4,1.2126,4.511
2013-08-12,0.48104501599117566,0.1866367395897872,2.9645,3.648,4.168,4.5,4.65,4.22,4.27,4.4,1.1886,4.511
2013-08-13,0.24795631385304928,0.18796638914595326,3.2253,3.702,4.16,4.524,4.65,4.2198,4.27,4.4,1.2143,4.517
2013-08-14,0.15543375095388476,0.09813890193597691,3.435,3.855,4.16,4.505,4.65,4.2198,4.27,4.4,1.2201,4.521
2013-08-15,0.2158951442656876,0.34380238915812295,3.283,3.994,4.119,4.517,4.6502,4.2198,4.27,4.4,1.2184,4.523
2013-08-16,0.21214082466139195,0.2202808056590309,3.209,3.772,3.823,4.56,4.6503,4.2198,4.27,4.4,1.219,4.524
2013-08-17,0.08993091355912787,0.03052204455012517,3.209,3.772,3.823,4.56,4.6503,4.2198,4.27,4.4,1.215,4.525
2013-08-18,0.3038480989644197,0.09935728762589507,3.209,3.772,3.823,4.56,4.6503,4.2198,4.27,4.4,1.2148,4.526
2013-08-19,0.5556733031780646,0.18502145488819535,3.403,4.092,5.156,4.925,4.6573,4.2198,4.27,4.4,1.1987,4.532
2013-08-20,0.2731718044116978,0.19672084193671832,3.854,4.428,5.467,5.218,4.6636,4.2198,4.2701,4.4,1.2288,4.54
2013-08-21,0.19433283835801235,0.19575534291475263,3.517,4.219,5.4,5.04,4.658,4.2198,4.27,4.4,1.2307,4.545
2013-08-22,0.45361478090192825,0.1632244704562705,3.357,4.115,5.046,4.968,4.662,4.2198,4.27,4.4,1.2187,4.546
2013-08-23,0.19277616317143498,0.1676617781642423,3.265,4.149,5.171,5.016,4.662,4.2198,4.27,4.4,1.2236,4.548
2013-08-24,0.2257991937510528,0.09347025261102188,3.265,4.149,5.171,5.016,4.662,4.2198,4.27,4.4,1.2204,4.551
2013-08-25,0.2203995277498469,0.11828760509431033,3.265,4.149,5.171,5.016,4.662,4.2198,4.27,4.4,1.2202,4.554
2013-08-26,0.37913668461718786,0.13474135159782602,3.037,4.023,5.196,5.007,4.6619,4.2198,4.2701,4.4,1.185,4.546
2013-08-27,0.23038344901245855,0.39262677822894276,3.006,4.209,5.382,4.974,4.6609,4.2198,4.2701,4.4,1.2131,4.538
2013-08-28,0.23717408196351802,0.22000017810575467,3.098,4.259,5.015,4.929,4.6586,4.2198,4.2701,4.4,1.213,4.528
2013-08-29,0.24183766444500404,0.23467762656010163,2.957,4.318,4.4,4.903,4.658,4.2198,4.2701,4.4,1.3194,4.583
2013-08-30,0.2874897645518538,0.13469412223458008,3.034,3.7355,4.311,4.805,4.6572,4.2198,4.2701,4.4,1.4113,4.686
2013-08-31,0.2425330537675236,0.14371212322912574,3.034,3.7355,4.311,4.805,4.6572,4.2198,4.2701,4.4,1.2201,4.685
2013-09-01,0.2862223102923274,0.3874188562782272,3.034,3.7355,4.311,4.805,4.6572,4.2198,4.2701,4.4,1.2199,4.685
2013-09-02,0.7168038498624135,0.1161181882105925,3.0188,3.742,4.15,4.6,4.6561,4.2198,4.2701,4.4,1.4475,4.829
2013-09-03,0.40973030826704293,0.25676571727463776,3.0006,3.75,3.763,4.523,4.6558,4.2198,4.2701,4.4,1.2339,4.84
2013-09-04,0.16981383132553496,0.179232626132922,3.005,3.498,3.747,4.581,4.6566,4.2198,4.2701,4.4,1.2349,4.852
2013-09-05,0.19704065650061223,0.14233381450178578,2.89,3.456,3.705,4.574,4.6566,4.22,4.2703,4.4,1.2374,4.807
2013-09-06,0.19809252210486042,0.2181789161880934,2.95,3.469,3.716,4.484,4.6573,4.2198,4.27,4.4,1.5058,4.859
2013-09-07,0.17342457614278464,0.1328247430364208,2.95,3.469,3.716,4.484,4.6573,4.2198,4.27,4.4,1.2415,4.87
2013-09-08,0.1974498581303894,0.09740401330502219,2.95,3.469,3.716,4.484,4.6573,4.2198,4.27,4.4,1.2381,4.88
2013-09-09,0.2509669210479798,0.2978517508024193,2.92,3.554,3.714,4.598,4.6564,4.2198,4.27,4.4,1.44,4.876
2013-09-10,0.48187783729233435,0.24240377976972727,2.8955,3.625,3.746,4.862,4.6549,4.2198,4.27,4.4,1.4214,4.979
2013-09-11,0.5035599457765599,0.46794598480750077,3.014,3.482,3.767,5.138,4.6559,4.2198,4.27,4.4,1.2527,4.989
2013-09-12,0.3489933741184936,0.294757320006148,2.967,3.494,3.8,5.374,4.6563,4.2198,4.27,4.4,1.2598,5.001
2013-09-13,0.3646799896326494,0.3950753536851889,2.979,3.57,3.852,5.4834,4.6571,4.22,4.27,4.4,1.3805,4.932
2013-09-14,0.1576439201864242,0.23707821531191625,2.979,3.57,3.852,5.4834,4.6571,4.22,4.27,4.4,1.2613,4.943
2013-09-15,0.1886085603032758,0.1633553272612938,2.979,3.57,3.852,5.4834,4.6571,4.22,4.27,4.4,1.2611,4.956
2013-09-16,0.8227200710859836,0.29500129485756327,3.008,3.469,3.592,5.67,4.6569,4.22,4.27,4.4,1.4143,4.942
2013-09-17,0.387830636471647,0.38037329164231043,3.493,3.583,3.64,5.836,4.6579,4.22,4.27,4.4,1.2495,4.848
2013-09-18,0.21846721499433983,0.30818054616913126,3.557,3.749,3.9325,5.913,4.6584,4.22,4.27,4.4,1.3366,4.894
2013-09-19,0.12610339814308347,0.07454921910093339,3.557,3.749,3.9325,5.913,4.6584,4.22,4.27,4.4,1.2594,4.893
2013-09-20,0.14436242028096594,0.09916112320122165,3.557,3.749,3.9325,5.913,4.6584,4.22,4.27,4.4,1.2592,4.827
2013-09-21,0.1649262119187166,0.17364122186136366,3.557,3.749,3.9325,5.913,4.6584,4.22,4.27,4.4,1.2569,4.825
2013-09-22,0.3436011639700764,0.31313482411070875,3.573,3.991,4.007,5.948,4.6617,4.22,4.27,4.4,1.2567,4.822
2013-09-23,0.27817282912069424,0.3805370405584801,3.815,4.232,4.35,6.004,4.6717,4.22,4.27,4.4,1.2346,4.724
2013-09-24,0.37788633047054204,0.37005774321754287,3.6144,4.44,4.8033,6.1089,4.6731,4.22,4.27,4.4,1.3281,4.767
2013-09-25,0.24059333605242092,0.48860364082895796,3.347,3.916,5.1825,5.856,4.6715,4.22,4.27,4.4,1.3895,4.796
2013-09-26,0.349731371222274,0.31643496444211316,3.112,4.055,5.571,5.435,4.6732,4.22,4.27,4.4,1.4449,4.897
2013-09-27,0.2145968538204637,0.18045353194092326,3.1477,3.646,5.6528,5.33,4.6722,4.22,4.27,4.4,1.3799,4.963
2013-09-28,0.2035513870682768,0.3793608178804284,3.1477,3.646,5.6528,5.33,4.6722,4.22,4.27,4.4,1.3138,4.994
2013-09-29,0.17524484753368863,0.26307944875955547,3.15,3.749,5.778,5.3,4.6732,4.22,4.27,4.4,1.3136,5.026
2013-09-30,0.14452674422283757,0.19704811778974468,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,1.3162,5.07
2013-10-01,0.09739684320007216,0.08365530018112337,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,1.3181,5.065
2013-10-02,0.058846313096827335,0.04722854061672356,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,1.3179,5.026
2013-10-03,0.05140820167522986,0.040630460160634936,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,1.3177,4.956
2013-10-04,0.10131658603921033,0.15285462850306045,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,1.3175,4.922
2013-10-05,0.1341783055539879,0.09118422477113378,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,1.3173,4.924
2013-10-06,0.19711266019020587,0.08790725516272631,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,1.3111,4.922
2013-10-07,0.2178113289683022,0.18864585476549042,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,1.3109,4.919
2013-10-08,0.558842437580173,0.5083071383598233,3.052,4.393,4.78,5.178,4.6685,4.22,4.27,4.4,1.4756,5.006
2013-10-09,0.36858020475359626,0.2219752390433198,3.232,4.502,4.816,5.213,4.6682,4.22,4.27,4.4,1.2935,4.992
2013-10-10,0.3669125060662778,0.3410942676545338,3.328,4.48,4.939,5.1,4.6681,4.22,4.27,4.4,1.3088,4.987
2013-10-11,0.42075823722488864,0.18062896088623961,3.1,4.26,4.847,5.0,4.6679,4.22,4.27,4.4,1.3122,4.985
2013-10-12,0.4168210329311989,0.20450159552854275,3.027,4.246,4.798,4.805,4.6673,4.22,4.27,4.4,1.3082,4.98
2013-10-13,0.3621049721881169,0.20794548705153534,3.027,4.246,4.798,4.805,4.6673,4.22,4.27,4.4,1.308,4.978
2013-10-14,0.663216172639401,0.26541299323003575,3.113,3.855,4.65,4.85,4.6661,4.22,4.27,4.4,1.2777,4.96
2013-10-15,0.43617656927163356,0.22915576057274736,3.117,3.845,3.883,4.713,4.6655,4.22,4.27,4.4,1.3456,4.889
2013-10-16,0.5137570688036935,0.33467939847732375,3.055,3.314,3.357,4.857,4.6654,4.22,4.27,4.4,1.313,4.899
2013-10-17,0.4438050161460945,0.15195635656892217,3.038,3.35,3.391,4.73,4.6681,4.22,4.27,4.4,1.2908,4.889
2013-10-18,0.4995240697600937,0.10405838510337048,3.001,3.485,3.573,4.613,4.6695,4.22,4.27,4.4,1.2917,4.878
2013-10-19,0.27048939724041127,0.17421913847399903,3.001,3.485,3.573,4.613,4.6695,4.22,4.27,4.4,1.2859,4.866
2013-10-20,0.2430998919735994,0.3322138611900418,3.001,3.485,3.573,4.613,4.6695,4.22,4.27,4.4,1.2857,4.854
2013-10-21,0.5396220023101337,0.2988977760845834,3.06,3.548,3.67,4.683,4.6775,4.22,4.27,4.4,1.34,4.888
2013-10-22,0.7410633983071632,0.6278915792447932,3.052,3.558,3.6,4.707,4.6813,4.22,4.27,4.4,1.2698,4.846
2013-10-23,0.5399417235278077,0.48175035597973687,3.78,3.992,3.871,4.814,4.6843,4.22,4.27,4.4,1.273,4.825
2013-10-24,0.35386459573849616,0.37987137682916994,4.088,4.68,4.882,5.4,4.6876,4.2201,4.27,4.4,1.2811,4.819
2013-10-25,0.35592894070485476,0.34097198969707826,4.367,4.891,5.862,6.422,4.691,4.2201,4.27,4.4,1.2758,4.811
2013-10-26,0.2837423053499876,0.32224352324103167,4.367,4.891,5.862,6.422,4.691,4.2201,4.27,4.4,1.2731,4.804
2013-10-27,0.34611210179518054,0.30372365205118745,4.367,4.891,5.862,6.422,4.691,4.2201,4.27,4.4,1.2729,4.797
2013-10-28,0.6615777935206257,0.3596682756815408,4.434,4.894,6.396,6.477,4.6975,4.2201,4.27,4.4,1.2428,4.743
2013-10-29,0.5193657684169068,0.2810810961855558,4.446,4.947,6.452,6.162,4.6966,4.22,4.27,4.4,1.289,4.754
2013-10-30,0.5581113466826959,0.41724733952243864,5.23,5.593,6.349,5.924,4.6965,4.2195,4.27,4.4,1.2902,4.763
2013-10-31,0.462755015166655,0.3630526049318084,4.59,4.993,5.51,5.334,4.6948,4.22,4.27,4.4,1.2965,4.772
2013-11-01,0.7680034505177774,0.43699316981405695,4.2883,4.61,5.03,5.162,4.6925,4.22,4.27,4.4,1.2919,4.781
2013-11-02,0.3162111141460984,0.1743549963423685,4.2883,4.61,5.03,5.162,4.6925,4.22,4.27,4.4,1.2911,4.79
2013-11-03,0.3496762895193851,0.20171230141322607,4.2883,4.61,5.03,5.162,4.6925,4.22,4.27,4.4,1.291,4.8
2013-11-04,1.526935255527165,0.8550777043155376,4.0971,4.423,4.5,4.605,4.6921,4.22,4.27,4.4,1.2888,4.825
2013-11-05,0.9206823631079599,0.5398658589457526,3.9147,4.232,4.557,4.6155,4.693,4.22,4.27,4.4,1.2938,4.828
2013-11-06,0.923583763689143,0.8598944530150947,3.66,3.866,4.55,4.869,4.6926,4.22,4.27,4.4,1.2917,4.829
2013-11-07,0.8548197006593686,0.5438914407297019,3.73,3.891,4.552,4.974,4.6933,4.2204,4.27,4.4,1.2935,4.827
2013-11-08,1.1794470577731537,0.6062405657975868,3.761,3.939,4.5805,5.077,4.6944,4.2201,4.27,4.4,1.292,4.827
2013-11-09,0.6436310876408217,0.2995791742299045,3.761,3.939,4.5805,5.077,4.6944,4.2201,4.27,4.4,1.2891,4.826
2013-11-10,0.8387883804590476,0.5568654264647628,3.761,3.939,4.5805,5.077,4.6944,4.2201,4.27,4.4,1.2889,4.825
2013-11-11,0.7531502415765009,1.4828541350561053,3.6,3.78,4.458,5.269,4.6962,4.22,4.27,4.4,1.4962,4.938
2013-11-12,0.7556094413815027,0.8569937318134471,3.329,3.545,4.305,4.865,4.6978,4.22,4.27,4.4,1.4577,5.028
2013-11-13,0.8883660099610906,0.5165683204730489,3.336,3.635,4.359,5.251,4.699,4.22,4.27,4.4,1.4097,5.093
2013-11-14,0.854985581932949,0.3431157092109128,4.188,4.193,4.485,5.325,4.6997,4.2202,4.27,4.4,1.3294,5.112
2013-11-15,0.6324532934972632,0.3800432998071013,4.454,5.311,5.902,5.949,4.706,4.2207,4.27,4.4,1.4738,5.212
2013-11-16,0.6009758586560855,0.18931095701771472,4.454,5.311,5.902,5.949,4.706,4.2207,4.27,4.4,1.3102,5.224
